,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,-0.110690120237821,0.490844910814808,ns,Ei,0.736267366222213,A,-1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.108518432466209,0.488507918921499,ns,Ei,0.736267366222213,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.210669323099679,0.197979624132208,ns,Ei,0.736267366222213,A,-1,0
17,LAMPA,-70.372778,-15.355833,0.124522343068254,0.432038441571599,ns,Ei,0.736267366222213,A,1,0
10,CABANILLAS,-70.346389,-15.6393,0.0665961945031713,0.670407757341049,ns,Ei,0.773547412316595,A,1,0
16,HUANCANE,-69.7625,-15.203333,-0.252969472041402,0.106015039060493,ns,Ei,0.736267366222213,A,-1,0
2,HUARAYA MOHO,-69.491389,-15.389722,-0.130059829023612,0.417660908960934,ns,Ei,0.736267366222213,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,0.0953894257082193,0.574388964302929,ns,Ei,0.773547412316595,A,1,0
21,TARACO,-69.9825,-15.305,-0.0766848309645289,0.633689558734744,ns,Ei,0.773547412316595,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.123357333787968,0.454359680363319,ns,Ei,0.736267366222213,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,0.0345930201905626,0.825697437801517,ns,Ei,0.86286610862672,A,1,0
4,LARAQUERI,-70.067778,-16.1525,-0.15888176374541,0.321100478480014,ns,Ei,0.736267366222213,A,-1,0
14,PUTINA,-69.868028,-14.914889,-0.0278308820646868,0.86286610862672,ns,Ei,0.86286610862672,A,-1,0
12,ICHUÑA,-70.53725,-16.14075,-0.183198801425043,0.251587026796589,ns,Ei,0.736267366222213,A,-1,0
